,DPD,Fecha,Ubigeo,Contagiados,Proyeccion,Fallecidos,Movilidad,Vacunados
APURIMAC-COTABAMBAS-TAMBOBAMBA,APURIMAC-COTABAMBAS-TAMBOBAMBA,2021-03-01 00:00:00,030501,1,1,1.0,-15.4,69.0
AREQUIPA-AREQUIPA-ALTO SELVA ALEGRE,AREQUIPA-AREQUIPA-ALTO SELVA ALEGRE,2021-03-01 00:00:00,040102,8,6,0.0,-53.4,0.0
AREQUIPA-AREQUIPA-AREQUIPA,AREQUIPA-AREQUIPA-AREQUIPA,2021-03-01 00:00:00,040101,85,54,1.0,-53.4,1157.0
AREQUIPA-AREQUIPA-CAYMA,AREQUIPA-AREQUIPA-CAYMA,2021-03-01 00:00:00,040103,29,29,0.0,-53.4,252.0
AREQUIPA-AREQUIPA-CERRO COLORADO,AREQUIPA-AREQUIPA-CERRO COLORADO,2021-03-01 00:00:00,040104,72,37,1.0,-53.4,142.0
AREQUIPA-AREQUIPA-CHARACATO,AREQUIPA-AREQUIPA-CHARACATO,2021-02-22 00:00:00,040105,3,3,0.0,-40.97142857142857,73.0
AREQUIPA-AREQUIPA-CHIGUATA,AREQUIPA-AREQUIPA-CHIGUATA,2021-02-22 00:00:00,040106,1,3,0.0,-40.97142857142857,28.0
AREQUIPA-AREQUIPA-JACOBO HUNTER,AREQUIPA-AREQUIPA-JACOBO HUNTER,2021-03-01 00:00:00,040107,14,20,0.0,-53.4,5.0
AREQUIPA-AREQUIPA-JOSE LUIS BUSTAMANTE Y RIVERO,AREQUIPA-AREQUIPA-JOSE LUIS BUSTAMANTE Y RIVERO,2021-03-01 00:00:00,040129,15,26,0.0,-53.4,0.0
AREQUIPA-AREQUIPA-LA JOYA,AREQUIPA-AREQUIPA-LA JOYA,2021-02-22 00:00:00,040108,11,11,0.0,-40.97142857142857,73.0
AREQUIPA-AREQUIPA-MARIANO MELGAR,AREQUIPA-AREQUIPA-MARIANO MELGAR,2021-03-01 00:00:00,040109,8,15,0.0,-53.4,11.0
AREQUIPA-AREQUIPA-MIRAFLORES,AREQUIPA-AREQUIPA-MIRAFLORES,2021-03-01 00:00:00,040110,6,6,0.0,-53.4,134.0
AREQUIPA-AREQUIPA-MOLLEBAYA,AREQUIPA-AREQUIPA-MOLLEBAYA,2021-02-15 00:00:00,040111,1,2,0.0,-42.68571428571429,0.0
