,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,SEMANA,UUID
783,AYACUCHO,HUANTA,PUCACOLPA,050411,2021-09,1
784,AYACUCHO,HUANTA,SANTILLANA,050406,2021-06,22
785,AYACUCHO,HUANTA,SANTILLANA,050406,2021-07,15
786,AYACUCHO,HUANTA,SANTILLANA,050406,2021-09,22
787,AYACUCHO,HUANTA,SIVIA,050407,2021-06,51
788,AYACUCHO,HUANTA,SIVIA,050407,2021-07,21
789,AYACUCHO,HUANTA,SIVIA,050407,2021-08,10
790,AYACUCHO,HUANTA,SIVIA,050407,2021-09,40
791,AYACUCHO,HUANTA,UCHURACCAY,050410,2021-07,16
792,AYACUCHO,HUANTA,UCHURACCAY,050410,2021-08,3
793,AYACUCHO,HUANTA,UCHURACCAY,050410,2021-09,1
794,AYACUCHO,LA MAR,ANCHIHUAY,050510,2021-07,6
795,AYACUCHO,LA MAR,ANCHIHUAY,050510,2021-09,5
796,AYACUCHO,LA MAR,ANCO,050502,2021-07,35
797,AYACUCHO,LA MAR,ANCO,050502,2021-08,1
798,AYACUCHO,LA MAR,ANCO,050502,2021-09,15
799,AYACUCHO,LA MAR,AYNA,050503,2021-06,151
800,AYACUCHO,LA MAR,AYNA,050503,2021-07,54
801,AYACUCHO,LA MAR,AYNA,050503,2021-08,6
802,AYACUCHO,LA MAR,AYNA,050503,2021-09,125
803,AYACUCHO,LA MAR,CHILCAS,050504,2021-07,13
804,AYACUCHO,LA MAR,CHILCAS,050504,2021-08,1
805,AYACUCHO,LA MAR,CHUNGUI,050505,2021-07,41
806,AYACUCHO,LA MAR,CHUNGUI,050505,2021-08,3
807,AYACUCHO,LA MAR,CHUNGUI,050505,2021-09,4
808,AYACUCHO,LA MAR,LUIS CARRANZA,050506,2021-07,7
809,AYACUCHO,LA MAR,SAMUGARI,050509,2021-06,27
810,AYACUCHO,LA MAR,SAMUGARI,050509,2021-07,13
811,AYACUCHO,LA MAR,SAMUGARI,050509,2021-08,8
812,AYACUCHO,LA MAR,SAMUGARI,050509,2021-09,14
813,AYACUCHO,LA MAR,SAN MIGUEL,050501,2021-06,118
814,AYACUCHO,LA MAR,SAN MIGUEL,050501,2021-07,50
815,AYACUCHO,LA MAR,SAN MIGUEL,050501,2021-08,1
816,AYACUCHO,LA MAR,SAN MIGUEL,050501,2021-09,145
817,AYACUCHO,LA MAR,SANTA ROSA,050507,2021-07,43
818,AYACUCHO,LA MAR,SANTA ROSA,050507,2021-08,5
819,AYACUCHO,LA MAR,SANTA ROSA,050507,2021-09,1
820,AYACUCHO,LA MAR,TAMBO,050508,2021-06,41
821,AYACUCHO,LA MAR,TAMBO,050508,2021-07,42
822,AYACUCHO,LA MAR,TAMBO,050508,2021-08,6
823,AYACUCHO,LA MAR,TAMBO,050508,2021-09,37
824,AYACUCHO,LUCANAS,AUCARA,050602,2021-07,21
